Name,City,State,Rank,Category
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,99,University
Bharathiar University,Coimbatore,Tamil Nadu,179,University
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,53,University
Institute of Chemical Technology,Mumbai,Maharashtra,130,University
Kerala University,Thiruvananthapuram,Kerala,102,University
Panjab University,Chandigarh,Chandigarh,88,University
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,94,University
Chandigarh University,Mohali,Punjab,2,University
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,111,University
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,8,University
Alagappa University,Karaikudi,Tamil Nadu,176,University
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,193,University
Symbiosis International,Pune,Maharashtra,60,University
University of Kashmir,Srinagar,Jammu and Kashmir,159,University
JSS Academy of Higher Education and Research,Mysuru,Karnataka,11,University
Amity University,Gautam Budh Nagar,Uttar Pradesh,48,University
Osmania University,Hyderabad,Telangana,108,University
Cochin University of Science and Technology,Cochin,Kerala,185,University
Lovely Professional University,Phagwara,Punjab,26,University
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,47,University
Delhi Technological University,New Delhi,Delhi,98,University
Bharathidasan University,Tiruchirappalli,Tamil Nadu,178,University
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,7,University
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,104,University
Mysore University,Mysuru,Karnataka,145,University
King George`s Medical University,Lucknow,Uttar Pradesh,122,University
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,71,University
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,49,University
Guru Nanak Dev University,Amritsar,Punjab,69,University
Jamia Hamdard,New Delhi,Delhi,38,University
University of Madras,Chennai,Tamil Nadu,156,University
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,35,University
